timestamp,best_bid,best_ask
51.003,,
52.618,,100.000000
113.038,99.940000,100.000000
129.316,99.960000,100.000000
150.392,99.940000,100.000000
190.544,99.940000,100.000000
207.626,99.940000,100.000000
216.502,99.950000,100.000000
266.892,99.950000,100.000000
359.42,99.950000,100.000000
371.268,99.970000,100.000000
378.977,99.970000,100.000000
422.774,99.970000,100.000000
521.475,99.970000,100.000000
799.089,99.970000,100.000000
814.608,99.970000,100.000000
968.364,99.960000,100.000000
1017.45,99.960000,100.000000
1055.23,99.960000,100.000000
1069.01,99.960000,99.990000
1140.49,99.960000,99.990000
1155.89,99.960000,100.000000
1218.3,99.960000,100.000000
1238.93,99.960000,100.000000
1242.42,99.990000,100.000000
1254.47,99.990000,100.000000
1308.26,99.990000,100.000000
1373.4,99.990000,100.000000
1389.72,99.990000,100.000000
1751.71,99.990000,100.000000
1784.95,99.990000,100.000000
1915.49,99.990000,100.000000
1969.7,99.990000,100.000000
1972.28,99.990000,100.000000
1975.83,99.990000,100.010000
1977.85,99.990000,100.010000
2033.24,99.990000,100.010000
2165.51,99.990000,100.010000
2300.86,99.990000,100.010000
2348.15,99.990000,100.010000
2458.39,99.990000,100.010000
2508.68,99.990000,100.010000
2703.77,99.990000,100.010000
2747.45,99.980000,99.990000
2761.8,99.960000,99.990000
2770.2,99.960000,99.990000
2903.74,99.960000,99.990000
2988.55,99.960000,99.990000
3088.43,99.960000,99.990000
3108.54,99.960000,99.980000
3137.21,99.960000,99.980000
3137.3,99.960000,99.980000
3156.13,99.960000,99.980000
3181.88,99.960000,99.980000
3191.43,99.960000,99.980000
3268.47,99.960000,99.980000
3384.19,99.960000,99.980000
3389.09,99.960000,99.980000
3483.86,99.960000,99.980000
3517.96,99.960000,99.980000
3523.59,99.960000,99.980000
3537.93,99.960000,99.980000
3648.94,99.960000,99.980000
3663.14,99.960000,99.980000
3667.17,99.960000,99.980000
3680.32,99.960000,99.980000
3707.2,99.960000,99.980000
3739.6,99.960000,99.980000
3808.43,99.960000,99.980000
3863.69,99.960000,99.980000
3908.5,99.960000,99.980000
3918.53,99.960000,99.980000
3934.83,99.960000,99.980000
3987.57,99.960000,99.980000
4029.08,99.960000,99.980000
4097.98,99.960000,99.980000
4154.54,99.960000,99.980000
4168.45,99.960000,99.980000
4196.41,99.960000,99.980000
4257.84,99.990000,99.990000
4296.47,99.990000,99.990000
4385.28,99.990000,99.990000
4409.1,99.990000,99.990000
4429.9,99.990000,99.990000
4455.98,99.990000,99.990000
4460.87,99.990000,99.990000
4498.72,99.990000,99.990000
4562.6,99.990000,99.990000
4629.68,99.990000,99.990000
4647.68,99.990000,99.990000
4654.43,99.990000,99.990000
4822.76,99.990000,99.990000
4865.79,99.960000,99.990000
4892.69,99.960000,99.990000
4937.09,99.990000,99.990000
4952.46,99.990000,99.990000
5010.92,99.990000,99.990000
5109.09,99.990000,99.990000
5244.74,99.990000,99.990000
5286.85,99.990000,99.990000
5429.8,99.960000,99.990000
5442.8,99.960000,99.990000
5495.51,99.960000,99.990000
5514.87,99.970000,99.990000
5545.2,99.970000,99.990000
5766.84,99.970000,99.990000
5815.94,99.970000,99.990000
5875.84,99.970000,99.990000
5915.86,99.970000,99.990000
6005.1,99.970000,99.990000
6029.29,99.970000,99.990000
6165.38,99.980000,99.990000
6506.11,99.980000,99.990000
6529.79,99.980000,99.990000
6556.23,99.980000,99.990000
6642.18,99.980000,99.990000
6647.47,99.980000,99.990000
6696.28,99.980000,99.990000
6715.32,99.980000,99.990000
6720.5,99.980000,99.990000
6743.99,99.980000,99.990000
6748.1,99.980000,99.990000
6762.84,99.980000,99.990000
6784.04,99.980000,99.990000
6817.05,99.980000,99.990000
6874.93,99.980000,99.990000
6955.89,99.980000,99.990000
7047,99.980000,99.990000
7090.33,99.980000,99.990000
7099.98,99.980000,99.990000
7187.04,99.980000,99.990000
7382.5,99.980000,99.990000
7389.1,99.970000,99.990000
7512.5,99.970000,99.990000
7518.7,99.980000,99.990000
7574.21,99.980000,99.990000
7663.91,99.980000,99.990000
7693.32,99.980000,99.990000
7883.8,99.980000,99.990000
7935.12,99.990000,99.990000
8023.66,99.990000,100.000000
8101.37,99.990000,100.000000
8202.04,99.990000,100.000000
8217.46,99.990000,100.000000
8253.45,99.990000,100.000000
8284.08,99.990000,100.000000
8346.39,99.990000,100.000000
8395.34,99.990000,100.000000
8423.47,99.990000,100.000000
8435.57,99.990000,100.000000
8454.31,99.990000,100.000000
8498.46,99.970000,99.980000
8501.1,99.970000,99.980000
8513.8,99.970000,99.980000
8596.11,99.970000,99.980000
8612.07,99.970000,99.980000
8665.62,99.970000,99.980000
8689.22,99.970000,99.980000
8697.67,99.970000,99.980000
8726.84,99.970000,99.980000
8783.58,99.970000,99.980000
8783.97,99.970000,99.980000
8818.36,99.970000,99.980000
8859.27,99.970000,99.980000
8901.86,99.970000,99.980000
8960.36,99.970000,99.980000
8964.45,99.970000,99.980000
9014.6,99.970000,99.980000
9098.98,99.990000,99.990000
9170.39,99.990000,99.990000
9241.72,99.990000,99.990000
9257.77,99.990000,99.990000
9346.87,99.990000,99.990000
9425.34,99.990000,99.990000
9460.13,99.990000,99.990000
9522.78,99.990000,99.990000
9545.4,99.990000,99.990000
9597.5,99.970000,99.990000
9661.82,99.970000,99.990000
9833.45,99.970000,99.990000
9874.38,99.970000,99.990000
9932.2,99.970000,99.990000
9942.14,99.970000,99.990000
9946.16,99.970000,99.990000
10000.4,99.970000,99.990000
10049.4,99.990000,99.990000
10224,99.970000,99.990000
10392.5,99.970000,99.990000
10421.6,99.970000,99.990000
10432.7,99.970000,99.990000
10568.8,99.970000,99.990000
10715.1,99.970000,99.990000
10738.6,99.970000,99.990000
10746,99.970000,100.000000
10746.2,99.970000,100.000000
10783.7,99.970000,100.000000
10832.5,99.970000,100.000000
10875.3,99.970000,100.000000
10885.7,99.980000,100.000000
10962.8,99.980000,100.000000
11028.9,99.980000,100.000000
11068.3,99.980000,100.000000
11078.4,99.980000,100.000000
11103.8,99.980000,100.000000
11179.7,99.980000,100.000000
11208.7,99.980000,100.000000
11245.3,99.980000,100.000000
11284.7,99.980000,100.000000
11330.9,99.980000,100.000000
11411.6,99.980000,100.010000
11413.4,99.980000,100.010000
11459.8,99.980000,100.010000
11497.5,99.980000,100.010000
11538.8,99.980000,100.010000
11868.4,99.980000,100.010000
11885.5,99.980000,100.010000
11921.1,99.980000,100.010000
11963.5,99.980000,100.010000
12036.8,99.980000,100.010000
12068.2,99.980000,100.010000
12112.5,99.980000,100.010000
12132,99.980000,100.010000
12172,99.980000,100.010000
12215.4,99.980000,100.010000
12288.3,99.980000,100.010000
12346,100.000000,100.010000
12379.1,100.000000,100.010000
12477.7,100.000000,100.010000
12484.2,100.000000,100.010000
12648.7,100.000000,100.010000
12924.4,100.000000,100.010000
12954.9,100.000000,100.010000
13047.4,100.000000,100.010000
13073.2,100.000000,100.010000
13090.3,100.000000,100.010000
13111,100.000000,100.010000
13118.4,100.000000,100.010000
13143.3,100.000000,100.010000
13184.7,100.000000,100.010000
13242.9,100.000000,100.010000
13306.8,100.000000,100.010000
13454.8,99.980000,100.010000
13513.5,99.980000,100.010000
13567.7,99.980000,100.010000
13589.6,99.980000,100.010000
13602.3,99.980000,100.010000
13643.4,99.980000,100.010000
13668.5,99.980000,100.010000
13697.7,100.000000,100.010000
13713.6,100.000000,100.010000
13716.3,100.000000,100.010000
13742.4,100.000000,100.010000
13745.4,100.000000,100.010000
13747.3,100.000000,100.010000
13885.3,100.000000,100.010000
14089,100.000000,100.010000
14184.2,100.000000,100.010000
14199.1,100.000000,100.010000
14208.7,100.000000,100.010000
