fill_id,order_id,timestamp,side,price,quantity,is_maker
1,4,129.316,SELL,99.96,5,0
2,4,129.316,SELL,99.94,3,0
3,16,814.608,SELL,99.97,8,0
4,16,814.608,SELL,99.96,1,0
5,20,1069.01,BUY,99.99,10,0
6,21,1140.49,BUY,99.99,5,0
7,21,1140.49,BUY,100,4,0
8,25,1242.42,SELL,99.99,4,0
9,31,1784.95,SELL,99.99,4,0
10,34,1972.28,BUY,100,7,0
11,34,1972.28,BUY,100.01,4,0
12,43,2703.77,SELL,99.99,5,0
13,44,2747.45,SELL,99.98,9,0
14,44,2747.45,SELL,99.98,5,0
15,44,2747.45,SELL,99.96,3,0
16,66,3680.32,BUY,99.98,8,0
17,71,3908.5,BUY,99.98,6,0
18,74,3987.57,BUY,99.98,3,0
19,76,4097.98,BUY,99.98,5,0
20,79,4196.41,BUY,99.98,11,0
21,91,4654.43,SELL,99.99,10,0
22,92,4822.76,SELL,99.99,2,0
23,92,4822.76,SELL,99.96,2,0
24,97,5010.92,SELL,99.99,7,0
25,100,5286.85,SELL,99.99,11,0
26,100,5286.85,SELL,99.96,4,0
27,100,5286.85,SELL,99.96,4,0
28,109,5915.86,SELL,99.97,9,0
29,109,5915.86,SELL,99.97,1,0
30,117,6647.47,SELL,99.98,15,0
31,129,7090.33,BUY,99.99,4,0
32,132,7382.5,SELL,99.98,2,0
33,132,7382.5,SELL,99.98,4,0
34,132,7382.5,SELL,99.97,3,0
35,138,7693.32,SELL,99.98,15,0
36,140,7935.12,BUY,99.99,4,0
37,140,7935.12,BUY,99.99,6,0
38,140,7935.12,BUY,100,2,0
39,140,7935.12,BUY,100,2,0
40,151,8454.31,SELL,99.99,9,0
41,151,8454.31,SELL,99.98,3,0
42,161,8783.58,SELL,99.97,8,0
43,163,8818.36,BUY,99.98,9,0
44,163,8818.36,BUY,99.98,1,0
45,164,8859.27,SELL,99.97,10,0
46,164,8859.27,SELL,99.97,5,0
47,164,8859.27,SELL,99.97,9,0
48,166,8960.36,BUY,99.98,9,0
49,168,9014.6,BUY,99.98,9,0
50,169,9098.98,BUY,99.99,5,0
51,175,9460.13,SELL,99.99,19,0
52,176,9522.78,BUY,99.99,11,0
53,177,9545.4,SELL,99.99,8,0
54,178,9597.5,SELL,99.97,6,0
55,178,9597.5,SELL,99.97,7,0
56,180,9833.45,SELL,99.97,7,0
57,180,9833.45,SELL,99.97,5,0
58,180,9833.45,SELL,99.97,1,0
59,186,10049.4,SELL,99.99,3,0
60,186,10049.4,SELL,99.97,3,0
61,190,10432.7,BUY,99.99,7,0
62,190,10432.7,BUY,99.99,3,0
63,193,10738.6,BUY,99.99,5,0
64,193,10738.6,BUY,100,10,0
65,193,10738.6,BUY,100,6,0
66,207,11245.3,BUY,100,14,0
67,207,11245.3,BUY,100,4,0
68,208,11284.7,BUY,100,3,0
69,208,11284.7,BUY,100,4,0
70,208,11284.7,BUY,100,6,0
71,209,11330.9,BUY,100,1,0
72,209,11330.9,BUY,100,5,0
73,209,11330.9,BUY,100.01,6,0
74,210,11411.6,BUY,100.01,17,0
75,211,11413.4,BUY,100.01,3,0
76,211,11413.4,BUY,100.01,5,0
77,215,11868.4,BUY,100.01,4,0
78,215,11868.4,BUY,100.01,8,0
79,215,11868.4,BUY,100.01,4,0
80,217,11921.1,BUY,100.01,2,0
81,217,11921.1,BUY,100.01,4,0
